Id,SalePrice
2658,166520.78116707638
2718,161357.20409745886
2414,223074.78055412608
1989,107614.19057672727
625,177028.4928323315
333,79393.56001085433
1327,95270.91178696707
858,155984.10097473237
95,170869.96041847108
1568,174015.60602526122
2482,149816.9456643797
1364,127792.24232855678
2584,151467.0630344845
818,280719.75254625926
2673,153063.16560373438
2089,112708.0678961213
1297,164229.15057359054
790,124039.54430556501
2616,213069.4924547287
720,202117.34109466878
222,151355.4970186709
557,127514.08750317962
1148,188643.66763146344
2766,190560.6375627166
534,178603.69088722084
1452,114062.44992711692
630,122332.30833345716
2648,142120.10935199517
125,165529.5905972335
1904,49351.68103467545
1670,99820.84066175722
756,99923.90280086745
717,243030.33389182383
1032,145808.8935920415
852,220006.1308747977
1731,184717.48473969958
2639,124544.17179289722
2071,101622.9414995024
1267,107353.61855605565
1851,197273.2417901581
567,155135.84581693966
2439,202347.85412766767
1898,151363.001485296
647,172171.87763788516
2256,197017.42919405963
979,80494.90846528101
1444,224210.68987560878
2485,119590.17290613597
157,126973.2597055086
88,114868.9294595141
2003,102486.00511349912
186,219995.7786210464
1425,230558.9174951907
2695,119486.88910799171
738,98232.44076775905
395,158554.037210355
1353,184673.58208248304
1878,138849.01097958075
390,158376.6725182071
1456,229462.16043265676
1103,317119.69623391185
1387,153265.23921905487
2070,172236.73620310146
1199,160725.75066969922
2479,170965.95332605357
501,319663.7761087586
2362,74107.61184167536
1718,189537.94852155977
2188,72070.96178518789
1483,130295.3705125273
2557,94041.3903705327
437,390885.0738889161
2224,225462.92994900816
1628,163793.46901861858
397,140734.69163785264
587,212211.68488865363
971,151040.12836528377
2611,129279.35155206284
1887,105693.67616765707
2399,378256.726590541
2148,199158.29853337823
304,108198.2394478118
1997,120405.13605732471
2817,126764.37671962212
1431,192744.93617266166
427,394456.6818713289
263,123520.54741705308
598,184812.24850324425
2895,234045.39535707084
687,135273.08970645466
1822,131162.54260500148
2191,120401.19576442946
179,144855.17798956129
1009,224790.10024564125
2010,145263.6048625448
1991,138186.43766960967
1411,166199.8560279868
1721,236317.97089002805
1144,194583.1251443483
593,201793.5330175432
575,331040.17038469616
1249,173366.4680832076
1604,111557.4238969502
1064,444878.48911705
1923,160832.8556926815
1988,104354.21792584029
2325,167070.2078682116
114,212892.60620552435
2700,189732.87166897097
217,152846.9639619352
343,177443.9876949691
386,218627.73251212446
2005,139884.20575515152
2908,142713.51750076603
1814,231523.04588218336
2446,468424.0899269728
208,124012.40320140251
1679,111665.86645207909
822,343508.2559816485
6,201267.79479963524
1781,391826.7970836437
2397,299388.0027944587
2340,310476.8513155799
1618,184139.25248938263
2843,142999.86484001862
1061,371390.75050226465
2786,123560.19574909669
1935,137300.62655538006
1341,127495.73664905841
521,261608.47829920897
2136,143310.36952764518
996,200947.10722330946
227,141702.07412650896
135,185733.6141402885
1167,160743.06297640677
294,238301.62993896386
1776,202507.09417387424
540,152701.35114539374
1717,201133.5161438479
2303,121928.2479663986
116,177095.28649545822
127,143415.72787178424
1371,138067.35251554794
1014,212766.79419546295
1507,123333.83705401752
702,95576.35698301648
750,156209.82480500895
261,155595.30173813563
1559,94521.47056049242
577,233874.786227105
2812,190985.14489679638
2080,154863.51666727551
1368,115389.27510272857
2376,118848.16135385534
659,107436.20395575918
1235,133757.4991474448
332,58900.28940832848
1917,141110.78669350507
2094,259531.43793146283
1460,240320.41706313955
1471,215426.69881187577
1509,125581.75325434096
1922,131485.22060066857
433,481055.5670200021
460,295147.07610779634
1116,235067.88760609843
1137,156705.89881901728
53,169422.00180753315
2354,262313.95138934994
1475,207543.7217042534
1761,503836.6247647871
842,137493.84463018458
2739,195147.00612741924
2509,136997.04857327335
1007,194119.84523262276
2610,169129.49369399255
1952,102342.46342477552
2719,169096.3255719581
2921,76010.2505178412
1966,156410.72341181675
292,117897.98681360978
1204,179731.92450966057
1829,258529.75498191762
2419,185091.56972731202
391,138154.22638775886
798,101947.51387404784
481,198046.75446328486
193,207321.56732574909
555,118533.80276186089
899,62822.387278170034
2357,171701.7525075964
328,110775.70825214015
1356,131996.14812625578
1154,88555.87253487005
1730,181398.61116956297
2249,159512.80864734965
1119,255425.49065187894
2856,146957.68076417805
1394,137481.95755535294
2587,115065.00182202965
61,349157.38074912346
2661,182215.15467447002
2711,134686.23167256895
1147,172640.78464880167
757,106131.42240248236
2623,107185.0961329909
2378,140865.96591034677
1413,141397.29982132587
1722,217878.09546875616
1112,215878.54752013378
1623,192937.88472921628
1201,179614.01202538155
1513,127665.76631480159
957,692581.2214279023
1171,258738.45880523307
1145,190538.71578974376
2726,253560.56763108127
703,134485.13317485247
760,103373.04192642414
1964,161087.92048155842
2512,154142.81169275258
159,117136.04608853097
1281,155975.63796885207
468,178647.99869274965
290,124549.20878934185
665,97285.9848349723
1463,242314.99777166668
1792,202693.42074256798
923,154352.31752265245
500,279230.29615971475
1408,198854.16513966856
331,87993.14905344223
170,117535.74054295005
2192,90746.1874978441
2571,304934.4778926295
2314,170841.28442972084
2647,82673.42802900425
422,443899.02138233854
2457,366927.79852036346
1838,212737.41506400192
2805,243529.45677668537
1645,148975.35588728677
1711,302266.0404629596
2825,252281.34536678303
322,344690.42152204533
2103,246375.51936101087
342,130547.76366637007
600,122761.06656270695
488,180879.76890471607
1725,341089.46059594565
2246,240427.23983347852
2847,151918.20594770927
806,231076.6881393122
530,230655.911035255
963,189746.00333737652
2678,119208.70745933003
171,84642.69663665135
2401,451250.9235541729
805,221972.28266829316
2259,217115.51409317058
1748,186640.19126765511
1361,133495.23659608088
1677,109447.9916585235
1406,150044.884402201
2322,272687.5622006993
688,136089.93290473585
143,142351.72739736672
804,199493.22175581002
1214,158030.49708669016
2828,139106.39632837672
1999,166287.2787145914
2467,208559.05556979263
2665,154442.83823884052
1538,320235.89199702773
398,110018.4676642624
2822,134109.81252337905
2157,124319.63183451747
1856,204457.54838783544
1269,85087.35278383334
2570,108545.63179328758
2320,219522.54603092477
1517,154177.40676525002
2304,129007.41056276142
1312,89862.4623356188
2012,131873.12674238504
506,291441.802738724
2865,223967.50719851872
2367,94828.21167556616
554,99408.66638603725
238,138517.72595576133
1954,111632.6586020579
2488,95054.4390287876
2291,44465.165844594536
1969,112917.41184128472
2725,183036.63994654635
1482,130295.3705125273
2763,184563.19709841325
503,273140.41436167
1584,253912.3945737591
1531,134820.6260290661
2210,157706.57646556583
459,360964.6978600504
556,119772.89936667035
1347,130169.03692725411
1290,60345.26809100818
1388,98729.85170357645
1571,521146.8905315651
2754,195114.38449122943
765,139231.69145518972
2494,131186.4148068385
2870,245541.5406401456
7,241023.3566431682
1114,258924.6492288538
2418,255477.6440551448
291,135530.6693481583
18,371620.6566417984
39,393042.11352864926
1001,287995.737087286
2442,219581.3404271711
616,110857.72553546709
2680,88211.1931545806
1414,142712.45409933705
289,162674.82205002755
40,264154.10637860146
860,115320.08600719349
409,129797.12426444894
673,153298.86630199873
2427,180484.28729325626
2036,213976.5899282284
2564,138381.88181790325
642,161592.64587162214
1008,168815.89955779898
1908,132816.69082280842
2519,214687.07343415258
1369,106764.41197980504
2855,179569.25739827415
712,106026.02785000292
1943,137431.69396206667
1958,129975.12085736205
107,175986.23151700204
2295,234290.1407840466
704,106968.706629625
676,119386.73053252196
259,183660.32640544657
93,297738.3584722019
106,243868.48602902534
2315,173704.05067441583
1050,98532.94538993179
1095,207427.45100204623
2709,141773.9443456651
758,131351.33514819684
1496,148009.55282320327
2370,127764.1076216771
2458,275345.3876734366
2733,127947.79189007066
161,239895.13157408853
726,149387.4636454996
845,210200.96620418451
947,236499.43087863224
2232,125628.52817718248
2563,149596.01040932204
2299,155082.42541750922
211,92252.94480798201
605,159912.4508150348
1478,208948.86668867845
2247,224428.27275713987
2274,243615.18840801163
2869,213249.53261964367
967,198540.9366464073
2656,120789.74085516023
667,176335.78011194308
1042,105137.04644359398
2023,169883.02617543394
2447,388384.1158574983
2055,129706.51816254942
2275,304035.5168556014
2204,176957.9657245985
1563,249423.01478935342
483,222205.22787403554
796,107999.05685085361
1526,176579.0025703248
2042,130537.84426122403
442,373485.03495462955
1693,344243.13060587697
1468,214677.63233004318
1430,199225.54899294255
2605,155259.0351415263
1529,225450.12037389755
335,177126.97689248412
1287,105493.2155973459
31,92146.90014849504
1785,339601.8550867411
82,153173.57228448888
2620,131597.7106583654
252,177708.44807825674
721,30466.15369956172
2165,187741.7747811296
2316,187194.75047741918
775,131593.48920336535
1558,114776.03928613797
17,211726.98112526076
1022,220012.99941503297
925,125616.74717658793
438,291272.7137062997
1270,161713.8434024743
1272,131131.90187260666
215,133377.27835579624
266,233737.90688915376
2402,299950.14423379226
1250,121203.81983927131
1984,112151.25816651084
1279,138414.87118046626
377,233526.13781077962
1252,116092.30109620246
2156,249231.7644847781
499,312706.4605707542
1374,138494.79177149828
2898,245459.4050695274
401,105959.23402400024
2721,170774.4125404007
2078,255078.96296025888
2589,136427.02211854712
1946,229965.33681408467
1334,122479.78049049707
2781,221548.4149995409
431,413287.77247914666
576,213516.79837398906
1474,206371.75119032286
2254,141754.679929647
2155,258445.89279272448
885,94898.5064122476
643,152051.03060306003
1944,137941.4171651727
480,188541.93411145476
2845,109119.59843700496
2387,324205.08018260467
2407,209762.57599205058
2527,162251.6850271091
2514,137148.18918251467
629,172354.9460768855
80,198356.92282644415
1876,144991.53831275296
1546,129167.87317873741
2518,176959.36140631785
2347,135309.6468647744
783,277100.1581639718
1322,58567.516431641765
194,95079.9208724685
1770,305858.3226356117
2143,156580.96504540875
1229,205650.20250436576
511,257772.53934632632
46,227614.41771149798
1348,161260.54924245668
2465,207283.05417300866
387,236428.22177014942
873,214113.45439471945
1918,117170.54089958756
2764,221554.54647340742
2184,124876.22256012872
934,162678.0155465133
1920,129498.8652227298
2631,138775.3104687092
1768,539505.3922210345
2040,135338.7452603515
1749,207216.63647610042
834,257835.28472020308
1457,227735.17383187794
79,92218.09805329051
2302,108069.74293131678
1817,150454.9936496687
2755,240951.21717730584
359,176753.91194898734
2059,101100.64873321954
2092,219622.8355167429
2516,232349.2736292545
150,121073.44417224609
1656,140089.60283298424
83,90541.76743124914
2411,199246.54658672638
795,80752.53473218228
2312,219551.96986905806
2917,131551.87412992737
1624,171327.87422683614
2215,287303.43532497186
1211,143620.3359647144
1485,139609.5873637282
1024,167506.97047465813
570,185254.9593386412
2874,148151.47447056253
700,153815.43280774617
2756,208725.69685319945
2022,181537.73223116278
583,216589.26301865297
2392,396746.9804332805
2424,179724.34359568963
212,124550.33300657268
736,141224.68303376075
1610,169956.56814111292
890,118762.86856780975
467,176902.77301018464
578,194848.64590693457
1747,194357.79778395267
1149,151396.23362216272
2758,252970.71519667812
857,149572.39293173776
2219,279636.6154483315
733,99475.49002495344
2909,93965.66437325365
1798,247123.7641083026
235,146447.64026309608
2366,136965.45563003293
1027,129661.73854553048
1195,135739.95582362823
1303,17431.748420099204
148,181700.83208750695
608,151671.34317742684
2515,194546.42448762717
821,290689.91217913426
2500,279616.2180321231
745,112406.8111943978
741,119791.98063953395
1611,187080.26873000455
2532,134050.612036279
1081,208621.63129469362
1692,439814.455711289
2520,188210.11887416756
